title,party,view,value,body
Seniors,Bloc Québécois ,Increase Old Age Security (OAS),0,The Bloc are proposing to make the Caregiver Tax Credit refundable. It wants anyone 65 and older automatically enrolled in the guaranteed income supplement — and to have the supplement itself increased. The party also proposes extending EI benefits to a maximum of 52 weeks for caregivers.
Seniors,Green ,Increase Old Age Security (OAS),0,"Greens also propose developing a national seniors strategy, which includes a national dementia strategy. It wants more long-term care beds in neighbourhood facilities but encourages creative home-sharing plans to allow seniors to stay home “as long as possible.” Over time, it proposes boosting the CPP’s target income replacement rate from 25 to 50 per cent of income made."
Seniors,People's Party ,Increase Old Age Security (OAS),0,The party has yet to release policy on this issue.
Seniors,Liberal ,national seniors strategy,0,Liberals are promising to boost Old Age Security at age 75 by 10 per cent and increase the Canada Pension Plan by 25 per cent for widows and widowers. They haven’t said whether this would translate to higher premiums to cover the cost. They also want to adjust the Criminal Code with new penalties for elder abuse and to collect better data on how widespread it is.
Seniors,Conservative ,national seniors strategy,0,"The party has promised to increase the Age Tax Credit by $1,000, available to seniors making less than $87,750. It also promises to keep old age security at 65, a diversion from Stephen Harper’s stance. Conservatives would make federally regulated companies disclose the solvency of their pension funds and allow for transfers from one pension plan to a “more successful” one."
Seniors,New Democrat ,national seniors strategy,1,"The party promises to create a national seniors strategy, which would include a strategy for dementia and a prevention plan for elder abuse. It proposes making the Caregiver Tax Credit refundable, to help those who look after seniors. New Democrats also pledge to make automatic enrollment in the Old Age Security and the Guaranteed Income Supplement retroactive."
Seniors,Bloc Québécois ,national seniors strategy,0,The Bloc are proposing to make the Caregiver Tax Credit refundable. It wants anyone 65 and older automatically enrolled in the guaranteed income supplement — and to have the supplement itself increased. The party also proposes extending EI benefits to a maximum of 52 weeks for caregivers.
Seniors,Green ,national seniors strategy,1,"Greens also propose developing a national seniors strategy, which includes a national dementia strategy. It wants more long-term care beds in neighbourhood facilities but encourages creative home-sharing plans to allow seniors to stay home “as long as possible.” Over time, it proposes boosting the CPP’s target income replacement rate from 25 to 50 per cent of income made."
Seniors,People's Party ,national seniors strategy,0,The party has yet to release policy on this issue.
Seniors,Liberal ,tax credit,0,Liberals are promising to boost Old Age Security at age 75 by 10 per cent and increase the Canada Pension Plan by 25 per cent for widows and widowers. They haven’t said whether this would translate to higher premiums to cover the cost. They also want to adjust the Criminal Code with new penalties for elder abuse and to collect better data on how widespread it is.
Seniors,Conservative ,tax credit,1,"The party has promised to increase the Age Tax Credit by $1,000, available to seniors making less than $87,750. It also promises to keep old age security at 65, a diversion from Stephen Harper’s stance. Conservatives would make federally regulated companies disclose the solvency of their pension funds and allow for transfers from one pension plan to a “more successful” one."
Seniors,New Democrat ,tax credit,1,"The party promises to create a national seniors strategy, which would include a strategy for dementia and a prevention plan for elder abuse. It proposes making the Caregiver Tax Credit refundable, to help those who look after seniors. New Democrats also pledge to make automatic enrollment in the Old Age Security and the Guaranteed Income Supplement retroactive."
Seniors,Bloc Québécois ,tax credit,1,The Bloc are proposing to make the Caregiver Tax Credit refundable. It wants anyone 65 and older automatically enrolled in the guaranteed income supplement — and to have the supplement itself increased. The party also proposes extending EI benefits to a maximum of 52 weeks for caregivers.
Seniors,Green ,tax credit,0,"Greens also propose developing a national seniors strategy, which includes a national dementia strategy. It wants more long-term care beds in neighbourhood facilities but encourages creative home-sharing plans to allow seniors to stay home “as long as possible.” Over time, it proposes boosting the CPP’s target income replacement rate from 25 to 50 per cent of income made."
Seniors,People's Party ,tax credit,0,The party has yet to release policy on this issue.
Small Business,Liberal ,lower tax rates,0.5,"The party got a lashing from small business after proposing tax reforms and had to backpedal. It did lower the small business tax rate from 10.5 to 9 per cent. They’ve now pledged cash incentives for startups and to eliminate the ""swipe fee"" merchants pay to credit card companies. They also promise to cut corporate taxes in half for businesses making zero emission products or technologies."
Small Business,Conservative ,lower tax rates,1,"Conservatives have promised to repeal the Liberal tax reforms and make the tax system easier to navigate. The party says it would keep the small business tax rate at 9 per cent, but lower tax rates from 15 to 5 per cent for green technology companies. To reduce “red tape,” it proposes a 2-for-1 rule ⁠— for every new regulation, it would get rid of two others."
Small Business,New Democrat ,lower tax rates,0.5,New Democrats argue their plan for universal pharmacare would save small businesses money on benefits. The party has advocated for a cap on the fees small businesses pay credit card companies. It would keep the small business tax rate at 9 per cent and change rules for family transfers to avoid “the unfair tax treatment.”
Small Business,Bloc Québécois ,lower tax rates,0,The party has not released much policy on this issue but has said it would like to invest more in rural regions to encourage more people to stay or move there. It argues investments in things like transportation services would encourage job creation. The party is expected to release more details on this during the campaign.
Small Business,Green ,lower tax rates,0,The Greens say they are “the party for small business.” They want to bring in a law that would force government to consider the impact on small businesses of all future legislation. The party proposes a Green Venture Capital Fund to aid green business start-ups and wants to eliminate the need for a small business to file taxes multiple times.
Small Business,People's Party ,lower tax rates,0,The party has not released a policy on this issue but leader Maxime Bernier has some experience ⁠— he served as minister of state for small business while he was a Conservative MP under Stephen Harper.
Small Business,Liberal ,simplify taxation/tax cut,1,"The party got a lashing from small business after proposing tax reforms and had to backpedal. It did lower the small business tax rate from 10.5 to 9 per cent. They’ve now pledged cash incentives for startups and to eliminate the ""swipe fee"" merchants pay to credit card companies. They also promise to cut corporate taxes in half for businesses making zero emission products or technologies."
Small Business,Conservative ,simplify taxation/tax cut,1,"Conservatives have promised to repeal the Liberal tax reforms and make the tax system easier to navigate. The party says it would keep the small business tax rate at 9 per cent, but lower tax rates from 15 to 5 per cent for green technology companies. To reduce “red tape,” it proposes a 2-for-1 rule ⁠— for every new regulation, it would get rid of two others."
Small Business,New Democrat ,simplify taxation/tax cut,0.5,New Democrats argue their plan for universal pharmacare would save small businesses money on benefits. The party has advocated for a cap on the fees small businesses pay credit card companies. It would keep the small business tax rate at 9 per cent and change rules for family transfers to avoid “the unfair tax treatment.”
Small Business,Bloc Québécois ,simplify taxation/tax cut,0,The party has not released much policy on this issue but has said it would like to invest more in rural regions to encourage more people to stay or move there. It argues investments in things like transportation services would encourage job creation. The party is expected to release more details on this during the campaign.
Small Business,Green ,simplify taxation/tax cut,1,The Greens say they are “the party for small business.” They want to bring in a law that would force government to consider the impact on small businesses of all future legislation. The party proposes a Green Venture Capital Fund to aid green business start-ups and wants to eliminate the need for a small business to file taxes multiple times.
Small Business,People's Party ,simplify taxation/tax cut,0,The party has not released a policy on this issue but leader Maxime Bernier has some experience ⁠— he served as minister of state for small business while he was a Conservative MP under Stephen Harper.
Small Business,Liberal ,financial aids,0,"The party got a lashing from small business after proposing tax reforms and had to backpedal. It did lower the small business tax rate from 10.5 to 9 per cent. They’ve now pledged cash incentives for startups and to eliminate the ""swipe fee"" merchants pay to credit card companies. They also promise to cut corporate taxes in half for businesses making zero emission products or technologies."
Small Business,Conservative ,financial aids,0,"Conservatives have promised to repeal the Liberal tax reforms and make the tax system easier to navigate. The party says it would keep the small business tax rate at 9 per cent, but lower tax rates from 15 to 5 per cent for green technology companies. To reduce “red tape,” it proposes a 2-for-1 rule ⁠— for every new regulation, it would get rid of two others."
Small Business,New Democrat ,financial aids,1,New Democrats argue their plan for universal pharmacare would save small businesses money on benefits. The party has advocated for a cap on the fees small businesses pay credit card companies. It would keep the small business tax rate at 9 per cent and change rules for family transfers to avoid “the unfair tax treatment.”
Small Business,Bloc Québécois ,financial aids,0,The party has not released much policy on this issue but has said it would like to invest more in rural regions to encourage more people to stay or move there. It argues investments in things like transportation services would encourage job creation. The party is expected to release more details on this during the campaign.
Small Business,Green ,financial aids,1,The Greens say they are “the party for small business.” They want to bring in a law that would force government to consider the impact on small businesses of all future legislation. The party proposes a Green Venture Capital Fund to aid green business start-ups and wants to eliminate the need for a small business to file taxes multiple times.
Small Business,People's Party ,financial aids,0,The party has not released a policy on this issue but leader Maxime Bernier has some experience ⁠— he served as minister of state for small business while he was a Conservative MP under Stephen Harper.
Taxes,Liberal ,corporate tax deduction,0.5,"Liberals plan to raise the basic personal income tax deduction to $15,000 for those earning under $147,000. In 2015, they added an upper tax bracket for people making more than $200,000 a year, while dropping the tax rate on earnings between $45,282 and $90,563. They plan to tax luxury vehicles and tech giants generating revenue in Canada."
Taxes,Conservative ,corporate tax deduction,0.5,"Conservatives promise a “universal tax cut” of 1.25 per cent over three years on taxable income under $47,630. They would make EI benefits for new parents tax free, remove GST from home heating costs, and revive Stephen Harper’s public transit and children's fitness and arts tax credits. The party would tax online tech giants at three per cent on revenues, and promises a single tax form for Quebecers."
Taxes,New Democrat ,corporate tax deduction,-1,"New Democrats propose hiking the rate for capital gains inclusion from 50 per cent to 75 per cent. They also want to hike the top federal personal income tax rate from 33 per cent to 35 per cent, and impose a one per cent wealth tax on those making more than $20 million. They too support taxing “web giants” like Netflix, Google and Facebook."
Taxes,Bloc Québécois ,corporate tax deduction,-1,"The Bloc wants the Quebec government to collect federal income taxes, rather than the Canada Revenue Agency. They argue this would make things simpler for Quebeckers, who would only have to fill out one form instead of two. They are also in favour of taxing online giants like Facebook, Netflix and Spotify and further clamping down on tax havens."
Taxes,Green ,corporate tax deduction,-1,"The Greens want to increase corporate tax rates from 15 to 21 per cent. They also would apply a corporate tax on tech companies like Netflix, Facebook, Google and Airbnb and find a way to tax cryptocurrencies. The party says it would create a Federal Tax Commission to ensure the tax system is fair and accessible."
Taxes,People's Party ,corporate tax deduction,1,"The party wants to cut the corporate income tax rate from 15 to 10 per cent and abolish the personal capital gains tax entirely. It proposes a simplified, two-bracket federal income tax where everyone who makes more than $100,000 would have a tax rate of 25 per cent; a discount compared to the current rate."
Taxes,Liberal ,income tax deduction,-1,"Liberals plan to raise the basic personal income tax deduction to $15,000 for those earning under $147,000. In 2015, they added an upper tax bracket for people making more than $200,000 a year, while dropping the tax rate on earnings between $45,282 and $90,563. They plan to tax luxury vehicles and tech giants generating revenue in Canada."
Taxes,Conservative ,income tax deduction,1,"Conservatives promise a “universal tax cut” of 1.25 per cent over three years on taxable income under $47,630. They would make EI benefits for new parents tax free, remove GST from home heating costs, and revive Stephen Harper’s public transit and children's fitness and arts tax credits. The party would tax online tech giants at three per cent on revenues, and promises a single tax form for Quebecers."
Taxes,New Democrat ,income tax deduction,-1,"New Democrats propose hiking the rate for capital gains inclusion from 50 per cent to 75 per cent. They also want to hike the top federal personal income tax rate from 33 per cent to 35 per cent, and impose a one per cent wealth tax on those making more than $20 million. They too support taxing “web giants” like Netflix, Google and Facebook."
Taxes,Bloc Québécois ,income tax deduction,0,"The Bloc wants the Quebec government to collect federal income taxes, rather than the Canada Revenue Agency. They argue this would make things simpler for Quebeckers, who would only have to fill out one form instead of two. They are also in favour of taxing online giants like Facebook, Netflix and Spotify and further clamping down on tax havens."
Taxes,Green ,income tax deduction,0,"The Greens want to increase corporate tax rates from 15 to 21 per cent. They also would apply a corporate tax on tech companies like Netflix, Facebook, Google and Airbnb and find a way to tax cryptocurrencies. The party says it would create a Federal Tax Commission to ensure the tax system is fair and accessible."
Taxes,People's Party ,income tax deduction,1,"The party wants to cut the corporate income tax rate from 15 to 10 per cent and abolish the personal capital gains tax entirely. It proposes a simplified, two-bracket federal income tax where everyone who makes more than $100,000 would have a tax rate of 25 per cent; a discount compared to the current rate."
Taxes,Liberal ,other tax deduction,-1,"Liberals plan to raise the basic personal income tax deduction to $15,000 for those earning under $147,000. In 2015, they added an upper tax bracket for people making more than $200,000 a year, while dropping the tax rate on earnings between $45,282 and $90,563. They plan to tax luxury vehicles and tech giants generating revenue in Canada."
Taxes,Conservative ,other tax deduction,0.5,"Conservatives promise a “universal tax cut” of 1.25 per cent over three years on taxable income under $47,630. They would make EI benefits for new parents tax free, remove GST from home heating costs, and revive Stephen Harper’s public transit and children's fitness and arts tax credits. The party would tax online tech giants at three per cent on revenues, and promises a single tax form for Quebecers."
Taxes,New Democrat ,other tax deduction,-1.5,"New Democrats propose hiking the rate for capital gains inclusion from 50 per cent to 75 per cent. They also want to hike the top federal personal income tax rate from 33 per cent to 35 per cent, and impose a one per cent wealth tax on those making more than $20 million. They too support taxing “web giants” like Netflix, Google and Facebook."
Taxes,Bloc Québécois ,other tax deduction,0.5,"The Bloc wants the Quebec government to collect federal income taxes, rather than the Canada Revenue Agency. They argue this would make things simpler for Quebeckers, who would only have to fill out one form instead of two. They are also in favour of taxing online giants like Facebook, Netflix and Spotify and further clamping down on tax havens."
Taxes,Green ,other tax deduction,-1,"The Greens want to increase corporate tax rates from 15 to 21 per cent. They also would apply a corporate tax on tech companies like Netflix, Facebook, Google and Airbnb and find a way to tax cryptocurrencies. The party says it would create a Federal Tax Commission to ensure the tax system is fair and accessible."
Taxes,People's Party ,other tax deduction,1,"The party wants to cut the corporate income tax rate from 15 to 10 per cent and abolish the personal capital gains tax entirely. It proposes a simplified, two-bracket federal income tax where everyone who makes more than $100,000 would have a tax rate of 25 per cent; a discount compared to the current rate."
Technology,Liberal ,open telecom market,1,Liberals promise to cut cellphone bills by a quarter ⁠— and would allow for more competition. They want to create a “digital charter” dictating rights and data privacy online. The party would also create new rules for social media platforms and fine them for keeping hate speech online. It promises high-speed internet everywhere in Canada by 2030.
Technology,Conservative ,open telecom market,0,"Conservatives promise legislation banning using the internet or phones to threaten or encourage self-harm. They also want to change how companies collect data, requiring agreements to be “plain language.” The party wants all Canadians to have access to high-speed internet and pledges to rejig the spectrum auction process to prioritize rural areas."
Technology,New Democrat ,open telecom market,0,"New Democrats propose putting a price cap on cellphone and internet bills, setting them around the global average of OECD countries. They would force phone companies to offer basic plans. The party wants to bring high-speed internet to every community in Canada. They would create a working group to combat online hate and pressure social media platforms to delete “hateful and extremist content.”"
Technology,Bloc Québécois ,open telecom market,0,"The party wants greater access for all to high-speed internet, before the 2030 timeline set by the Liberals, and better cell phone rates across the country. It’s a big issue in rural Quebec ridings, which Bloc MPs believe have a harder time attracting workers as a result."
Technology,Green ,open telecom market,1,Greens would amend CRTC regulations to curb cell prices. They hope to increase competition by opening up the market for new Canadian telecommunication companies. The party advocates for infrastructure to increase high-speed internet access across Canada. It would force companies to delete individual’s data (“right to be forgotten”) and get social media platforms to only allow “verifiable identities” to create accounts.
Technology,People's Party ,open telecom market,1,"Leader Maxime Bernier has blamed high cell phone rates on the CRTC and has promised to get it out of the telecom industry. He said he believes this would result in more competition from foreign telecom companies, which would help lower prices. “More competition is the right plan for Canada,” says a page from his Conservative leadership campaign."
Technology,Liberal ,high-speed internet,0,Liberals promise to cut cellphone bills by a quarter ⁠— and would allow for more competition. They want to create a “digital charter” dictating rights and data privacy online. The party would also create new rules for social media platforms and fine them for keeping hate speech online. It promises high-speed internet everywhere in Canada by 2030.
Technology,Conservative ,high-speed internet,1,"Conservatives promise legislation banning using the internet or phones to threaten or encourage self-harm. They also want to change how companies collect data, requiring agreements to be “plain language.” The party wants all Canadians to have access to high-speed internet and pledges to rejig the spectrum auction process to prioritize rural areas."
Technology,New Democrat ,high-speed internet,1,"New Democrats propose putting a price cap on cellphone and internet bills, setting them around the global average of OECD countries. They would force phone companies to offer basic plans. The party wants to bring high-speed internet to every community in Canada. They would create a working group to combat online hate and pressure social media platforms to delete “hateful and extremist content.”"
Technology,Bloc Québécois ,high-speed internet,1,"The party wants greater access for all to high-speed internet, before the 2030 timeline set by the Liberals, and better cell phone rates across the country. It’s a big issue in rural Quebec ridings, which Bloc MPs believe have a harder time attracting workers as a result."
Technology,Green ,high-speed internet,1,Greens would amend CRTC regulations to curb cell prices. They hope to increase competition by opening up the market for new Canadian telecommunication companies. The party advocates for infrastructure to increase high-speed internet access across Canada. It would force companies to delete individual’s data (“right to be forgotten”) and get social media platforms to only allow “verifiable identities” to create accounts.
Technology,People's Party ,high-speed internet,0,"Leader Maxime Bernier has blamed high cell phone rates on the CRTC and has promised to get it out of the telecom industry. He said he believes this would result in more competition from foreign telecom companies, which would help lower prices. “More competition is the right plan for Canada,” says a page from his Conservative leadership campaign."
Technology,Liberal ,punishment for hate speech,1,Liberals promise to cut cellphone bills by a quarter ⁠— and would allow for more competition. They want to create a “digital charter” dictating rights and data privacy online. The party would also create new rules for social media platforms and fine them for keeping hate speech online. It promises high-speed internet everywhere in Canada by 2030.
Technology,Conservative ,punishment for hate speech,0.5,"Conservatives promise legislation banning using the internet or phones to threaten or encourage self-harm. They also want to change how companies collect data, requiring agreements to be “plain language.” The party wants all Canadians to have access to high-speed internet and pledges to rejig the spectrum auction process to prioritize rural areas."
Technology,New Democrat ,punishment for hate speech,1,"New Democrats propose putting a price cap on cellphone and internet bills, setting them around the global average of OECD countries. They would force phone companies to offer basic plans. The party wants to bring high-speed internet to every community in Canada. They would create a working group to combat online hate and pressure social media platforms to delete “hateful and extremist content.”"
Technology,Bloc Québécois ,punishment for hate speech,0,"The party wants greater access for all to high-speed internet, before the 2030 timeline set by the Liberals, and better cell phone rates across the country. It’s a big issue in rural Quebec ridings, which Bloc MPs believe have a harder time attracting workers as a result."
Technology,Green ,punishment for hate speech,0,Greens would amend CRTC regulations to curb cell prices. They hope to increase competition by opening up the market for new Canadian telecommunication companies. The party advocates for infrastructure to increase high-speed internet access across Canada. It would force companies to delete individual’s data (“right to be forgotten”) and get social media platforms to only allow “verifiable identities” to create accounts.
Technology,People's Party ,punishment for hate speech,0,"Leader Maxime Bernier has blamed high cell phone rates on the CRTC and has promised to get it out of the telecom industry. He said he believes this would result in more competition from foreign telecom companies, which would help lower prices. “More competition is the right plan for Canada,” says a page from his Conservative leadership campaign."
Transportation,Liberal ,zero-emission vehicles ,1,"Liberals want all new vehicles sold to be zero-emission by 2040. They’ve promised an additional $3 billion in public transit funding per year. Transit funding would be tied to investment in zero-emission transit vehicles from 2023. The party has proposed starting a National Infrastructure Fund to support major projects, including building a link between Newfoundland and Labrador."
Transportation,Conservative ,zero-emission vehicles ,0,"Conservatives say they’ll close the gap between conventional and electric vehicles but have not offered a timeline. Leader Andrew Scheer has promised not to renege on federal funds already committed to transit projects but would scrap the Canada Infrastructure Bank, which has funded transit. He plans to revive a public transit tax credit axed by Liberals in 2017."
Transportation,New Democrat ,zero-emission vehicles ,1,The party wants to electrify transit fleets by 2030 and work with municipalities to eventually make rides fare-free. New Democrats would waive the federal tax on zero-emission vehicles and work toward the goal it shares with the Liberals of getting all new vehicles zero-emission by 2040. They also promise to re-establish the rural bus service cancelled by Greyhound.
Transportation,Bloc Québécois ,zero-emission vehicles ,1,"The Bloc argues the subsidy for zero-emission vehicles isn’t enough to impact the environment and is proposing bigger discounts. It too wants all transportation electrified across the country. In wake of the devastating Lac-Mégantic train derailment, the party wants a public inquiry to look at rail transport regulations and opposes any additional oil being moved around Quebec."
Transportation,Green ,zero-emission vehicles ,1.5,Greens want to make all public ground transportation in Canada zero-carbon by 2040. They would re-invest in rail systems and work on increasing train speeds. The party wants all new cars to be electric by 2030 ⁠and would invest in a national grid allowing these vehicles to travel across Canada. It pledges to exempt all electric and zero-emission vehicles from federal sales taxes.
Transportation,People's Party ,zero-emission vehicles ,-1,"The party has not released a policy on this issue but leader Maxime Bernier is opposed to subsidies for zero-emission vehicles, claiming their buyers are already “wealthy people” and it’s a waste of money."
Transportation,Liberal ,zero-emission transit,0.5,"Liberals want all new vehicles sold to be zero-emission by 2040. They’ve promised an additional $3 billion in public transit funding per year. Transit funding would be tied to investment in zero-emission transit vehicles from 2023. The party has proposed starting a National Infrastructure Fund to support major projects, including building a link between Newfoundland and Labrador."
Transportation,Conservative ,zero-emission transit,0,"Conservatives say they’ll close the gap between conventional and electric vehicles but have not offered a timeline. Leader Andrew Scheer has promised not to renege on federal funds already committed to transit projects but would scrap the Canada Infrastructure Bank, which has funded transit. He plans to revive a public transit tax credit axed by Liberals in 2017."
Transportation,New Democrat ,zero-emission transit,1,The party wants to electrify transit fleets by 2030 and work with municipalities to eventually make rides fare-free. New Democrats would waive the federal tax on zero-emission vehicles and work toward the goal it shares with the Liberals of getting all new vehicles zero-emission by 2040. They also promise to re-establish the rural bus service cancelled by Greyhound.
Transportation,Bloc Québécois ,zero-emission transit,1,"The Bloc argues the subsidy for zero-emission vehicles isn’t enough to impact the environment and is proposing bigger discounts. It too wants all transportation electrified across the country. In wake of the devastating Lac-Mégantic train derailment, the party wants a public inquiry to look at rail transport regulations and opposes any additional oil being moved around Quebec."
Transportation,Green ,zero-emission transit,1.5,Greens want to make all public ground transportation in Canada zero-carbon by 2040. They would re-invest in rail systems and work on increasing train speeds. The party wants all new cars to be electric by 2030 ⁠and would invest in a national grid allowing these vehicles to travel across Canada. It pledges to exempt all electric and zero-emission vehicles from federal sales taxes.
Transportation,People's Party ,zero-emission transit,-1,"The party has not released a policy on this issue but leader Maxime Bernier is opposed to subsidies for zero-emission vehicles, claiming their buyers are already “wealthy people” and it’s a waste of money."
Transportation,Liberal ,new infrastructure projects,1,"Liberals want all new vehicles sold to be zero-emission by 2040. They’ve promised an additional $3 billion in public transit funding per year. Transit funding would be tied to investment in zero-emission transit vehicles from 2023. The party has proposed starting a National Infrastructure Fund to support major projects, including building a link between Newfoundland and Labrador."
Transportation,Conservative ,new infrastructure projects,-0.5,"Conservatives say they’ll close the gap between conventional and electric vehicles but have not offered a timeline. Leader Andrew Scheer has promised not to renege on federal funds already committed to transit projects but would scrap the Canada Infrastructure Bank, which has funded transit. He plans to revive a public transit tax credit axed by Liberals in 2017."
Transportation,New Democrat ,new infrastructure projects,0.5,The party wants to electrify transit fleets by 2030 and work with municipalities to eventually make rides fare-free. New Democrats would waive the federal tax on zero-emission vehicles and work toward the goal it shares with the Liberals of getting all new vehicles zero-emission by 2040. They also promise to re-establish the rural bus service cancelled by Greyhound.
Transportation,Bloc Québécois ,new infrastructure projects,0,"The Bloc argues the subsidy for zero-emission vehicles isn’t enough to impact the environment and is proposing bigger discounts. It too wants all transportation electrified across the country. In wake of the devastating Lac-Mégantic train derailment, the party wants a public inquiry to look at rail transport regulations and opposes any additional oil being moved around Quebec."
Transportation,Green ,new infrastructure projects,0.5,Greens want to make all public ground transportation in Canada zero-carbon by 2040. They would re-invest in rail systems and work on increasing train speeds. The party wants all new cars to be electric by 2030 ⁠and would invest in a national grid allowing these vehicles to travel across Canada. It pledges to exempt all electric and zero-emission vehicles from federal sales taxes.
Transportation,People's Party ,new infrastructure projects,0,"The party has not released a policy on this issue but leader Maxime Bernier is opposed to subsidies for zero-emission vehicles, claiming their buyers are already “wealthy people” and it’s a waste of money."
